pub_key,tx_hash,tx_amt
9b2e4c0281c0b02e7c53291a94d1d0cbff8883f8024f5142ee494ffbbd088071,c88ce9783b4f11190d7b9c17a69c1c52200f9faaee8e98dd07e6811175177139,17592186044415
5f391ad90e8b64ef432a0a28d0d9d699189b9c1322248ddbdb699c101a3cd9c3,52578a3816ec18ca6db2ec4f594b7c8a778caa4c52d2c1705bcbab9798a9ea7b,267200
33b81ac838467f7c59079e80517be1a45de51248a9bd841bf783e0aca7b2d5e2,52578a3816ec18ca6db2ec4f594b7c8a778caa4c52d2c1705bcbab9798a9ea7b,9000000
3dc61a8cab11504ef1a36c51affeb7eed222cd09c98bf5045e489c23b409c9bc,52578a3816ec18ca6db2ec4f594b7c8a778caa4c52d2c1705bcbab9798a9ea7b,60000000
2caa4a9af327b36df136599a104278cf44342b0732bb5ad8c4c3582531add94b,52578a3816ec18ca6db2ec4f594b7c8a778caa4c52d2c1705bcbab9798a9ea7b,100000000
f9edf7d361176a29d1ce53e890e6ebc1e721d9719d273b69f1eb15d96025c634,52578a3816ec18ca6db2ec4f594b7c8a778caa4c52d2c1705bcbab9798a9ea7b,2000000000
2e5ba472765cb2297f51f1a47aaf5f358cf48e16593c25bfc1880578014a65ed,52578a3816ec18ca6db2ec4f594b7c8a778caa4c52d2c1705bcbab9798a9ea7b,90000000000
1b82a36cde1c9a6103d99ea6ebfb9f82b2547cef8934d8e87cf5e20c098ede9c,52578a3816ec18ca6db2ec4f594b7c8a778caa4c52d2c1705bcbab9798a9ea7b,500000000000
b37974cac8678446a230fb3e1b0ec06d56666bf0bf43dd64ff096a01f5aa2fda,52578a3816ec18ca6db2ec4f594b7c8a778caa4c52d2c1705bcbab9798a9ea7b,7000000000000
a0c492751cb53389c9228f68b1ec1be831fb774a285f06c4ee02053858486e82,52578a3816ec18ca6db2ec4f594b7c8a778caa4c52d2c1705bcbab9798a9ea7b,10000000000000
4ec98e3bae29a6538d6a8d6b16222665a8d2118284f69b7534b78d9665896391,f059b321c5c84f781563080f2ea5958788e16236ca65512e6d81e6e171c93d08,490000
b67af7974504e00e86a5646540c4873954960a6f56aeffd4393293ead0944293,f059b321c5c84f781563080f2ea5958788e16236ca65512e6d81e6e171c93d08,2000000
198d585f9e9021cf7be46cba09a1e42f54939deb00e90de17c7b5e8c6ee807c1,f059b321c5c84f781563080f2ea5958788e16236ca65512e6d81e6e171c93d08,50000000
bc9cc8e5b99dad3be46919f9be8a20e7e17c70dd846104d7c78dc121cf885413,f059b321c5c84f781563080f2ea5958788e16236ca65512e6d81e6e171c93d08,100000000
6bbace83db497d7a4660989c63a3a234235dd7e5f3621001c15017248130e362,f059b321c5c84f781563080f2ea5958788e16236ca65512e6d81e6e171c93d08,2000000000
e79662e7d2cbae5ef9704c67c70a25d76bb483345212db02a40864466bed1819,f059b321c5c84f781563080f2ea5958788e16236ca65512e6d81e6e171c93d08,90000000000
dc9ce2746f4b558c8c41bacfb32b6a1619eb063a00dd143c23cd0ad5f6e237b2,f059b321c5c84f781563080f2ea5958788e16236ca65512e6d81e6e171c93d08,500000000000
de00acad5a0df1c52ef51637cb89ae1c991c877acf6152252529009d6e51adbc,f059b321c5c84f781563080f2ea5958788e16236ca65512e6d81e6e171c93d08,7000000000000
3edb0ca6714c5cde267ada54d157d51795209d13ef1bc5ad59704bffbcad5ce3,f059b321c5c84f781563080f2ea5958788e16236ca65512e6d81e6e171c93d08,10000000000000
9c0988ea47eafe15303fe7b37e8f4e15a51273681ecaf2b678745d5161d875a3,137f89df8d750cb160bccf2708a1bc9234ae5514bf926ec6b963448ec0af6b9d,712815
1b1c293db480f77f6cfa676bc648cbc9dc41c8721fd2c9a16829d5efd75b884a,137f89df8d750cb160bccf2708a1bc9234ae5514bf926ec6b963448ec0af6b9d,5000000
e17ecb617676a95153fa9dd5fcfdb8bb94bb9eb494025c2575633318c9ad6dbb,137f89df8d750cb160bccf2708a1bc9234ae5514bf926ec6b963448ec0af6b9d,30000000
109215edd47b2a7994315a3079a03c72ec5a8ab20df0cc5e7a44b6143d85cbc9,137f89df8d750cb160bccf2708a1bc9234ae5514bf926ec6b963448ec0af6b9d,100000000
9537e0e736baa6c8c9890e73a2d01e0194f627ae51619c138729441fa046d6f0,137f89df8d750cb160bccf2708a1bc9234ae5514bf926ec6b963448ec0af6b9d,2000000000
de5f602b8c1da008da4692d017b1955e5cd41655d13e037e8e40cc61edecbca5,137f89df8d750cb160bccf2708a1bc9234ae5514bf926ec6b963448ec0af6b9d,90000000000
1ef910e155d7216724158f1a6cce3ce9f0e25216b7c0f064328dde2fbabd63e4,137f89df8d750cb160bccf2708a1bc9234ae5514bf926ec6b963448ec0af6b9d,500000000000
74450959e6dcce686e7fdb8e319cfca01360a93be70eb91ab6b870384366ba1e,137f89df8d750cb160bccf2708a1bc9234ae5514bf926ec6b963448ec0af6b9d,7000000000000
bca1c2f25f636a8fa5ce5a9fc7c10e5a29aa9ee5d9c42ada34a1a3fc3ec95bc1,137f89df8d750cb160bccf2708a1bc9234ae5514bf926ec6b963448ec0af6b9d,10000000000000
1fe20e888080807567c5c7f5c039bf4249bb91f375b8c412104c0cef1e08c327,e1ae426d0314523dd5a7e4f5a5b75eaabfa9f36f66db08cfa5e49f7297e6e689,935647
8a505e390851cbc367e71e7035c7301070c3518227e2ac9057bc45250a1e7040,e1ae426d0314523dd5a7e4f5a5b75eaabfa9f36f66db08cfa5e49f7297e6e689,8000000
4e47949561ffdf8c31b6bad102dff4781454732afdadc7a1d448caad26889892,e1ae426d0314523dd5a7e4f5a5b75eaabfa9f36f66db08cfa5e49f7297e6e689,10000000
4250290613cec7d2e20959d9569c49bc3cc8aaecea0bd6dd80a5ce102b42c7b9,e1ae426d0314523dd5a7e4f5a5b75eaabfa9f36f66db08cfa5e49f7297e6e689,100000000
77122acc5b8594bbb34636b7fbb6c9ea7b34472435bf7f47daa1b8a335ad92a7,e1ae426d0314523dd5a7e4f5a5b75eaabfa9f36f66db08cfa5e49f7297e6e689,2000000000
f5a778f087a2533206b286e9dc65f1c982273fc0e4abf75c2cb284d9fdeac88a,e1ae426d0314523dd5a7e4f5a5b75eaabfa9f36f66db08cfa5e49f7297e6e689,90000000000
16ad3b8fde2812024f1965ee4c67f82a92b00f870343a6877f435bd7101435aa,e1ae426d0314523dd5a7e4f5a5b75eaabfa9f36f66db08cfa5e49f7297e6e689,500000000000
4d3464c2d5f69e6f034a934db1afa17ab24b1b413df3700014a714d7bfa5ba94,e1ae426d0314523dd5a7e4f5a5b75eaabfa9f36f66db08cfa5e49f7297e6e689,7000000000000
5f620988484b28b6dbfd5f8c5ed98b0d3c8933dcf6da29df65f718ca4cd12899,e1ae426d0314523dd5a7e4f5a5b75eaabfa9f36f66db08cfa5e49f7297e6e689,10000000000000
d0c454b68501f0fe499f3a27f2f2678a85c59a7986fd375982b02b427dcbc971,d2506ef459b950a565ca540ba5316dbbf35f8cb004be5090c84d43ba9b71cc02,158495
a15ea1c6b968bddde35a6654d34c065d5603cd51313ab20fb5ba3b46cdfce4af,d2506ef459b950a565ca540ba5316dbbf35f8cb004be5090c84d43ba9b71cc02,2000000
b2f6e972af235d063e39926e3c4e373b270bc61239900b22a1a0c5941446e5e4,d2506ef459b950a565ca540ba5316dbbf35f8cb004be5090c84d43ba9b71cc02,100000000
300849c032debc25ed2e67e29989e2fbe031c2bb3d335ae93462e8086db741d2,d2506ef459b950a565ca540ba5316dbbf35f8cb004be5090c84d43ba9b71cc02,2000000000
4669c0f525afc81c9d41ff87e8577eaac3a353d5a149a1b2967b1e53753c738e,d2506ef459b950a565ca540ba5316dbbf35f8cb004be5090c84d43ba9b71cc02,90000000000
2b683f34abb9c54abed7292a3606c5f39ed3542811c5608aa4d3bdc7805ca51f,d2506ef459b950a565ca540ba5316dbbf35f8cb004be5090c84d43ba9b71cc02,500000000000
73eb6c7af88b4ae907680a842fa811adaaac2e13ae653afdcf2bd28e64172b7d,d2506ef459b950a565ca540ba5316dbbf35f8cb004be5090c84d43ba9b71cc02,7000000000000
d53485d57ab005a409b3ed7d853a8308d53bbe72298b9504654b6efc58de276e,d2506ef459b950a565ca540ba5316dbbf35f8cb004be5090c84d43ba9b71cc02,10000000000000
a48377c2e34ea5ca662578b41724f93adf605a4c7540d974eda1596ecb0d77a4,6522a08378b5fef0c53bcc219e7f340af46c00314da8582c1edf8d8df403e390,381359
88d46fcfe3a0b2dbc1fbfdc0f471befba1e35892fa22f0d3207a6bc3e5c0180f,6522a08378b5fef0c53bcc219e7f340af46c00314da8582c1edf8d8df403e390,5000000
1595e9e2b7a34403e9d91118411347d87fdf5519a4554cb2bbe3260947f7e223,6522a08378b5fef0c53bcc219e7f340af46c00314da8582c1edf8d8df403e390,80000000
03e5fcc1dc18964d02c9d70d9e5194a274195f096338b37e483c6b0f43d0314d,6522a08378b5fef0c53bcc219e7f340af46c00314da8582c1edf8d8df403e390,2000000000
cbfda952f8653e0a285497c6b8e136bfebdbefd9d5a6ef5dd628e071562cd0cf,6522a08378b5fef0c53bcc219e7f340af46c00314da8582c1edf8d8df403e390,90000000000
834dbbadd864eafac32d795010564fe6e88fec029f20d6c91654f191c2995e73,6522a08378b5fef0c53bcc219e7f340af46c00314da8582c1edf8d8df403e390,500000000000
1b6367f72a1cdbc7a21aa37e0ab2155529e404c2efaadd72ca7702e42bc96640,6522a08378b5fef0c53bcc219e7f340af46c00314da8582c1edf8d8df403e390,7000000000000
c255305e9eb8bf9c9f4f90663d75ed9319756c457cba52dfebfbbce8c0f6dff9,6522a08378b5fef0c53bcc219e7f340af46c00314da8582c1edf8d8df403e390,10000000000000
1c287f174eceacc12c97ad505047b82063c25dbe2354162838daadb975aaae3f,c5c37bf6a69f7f0d5a595d1f24e5aa38eacd466a698936376360c21d92148c77,604239
1baf5b733d5804cc1a51033772fd4da7b752dd59859fb704afc3c0e6bf42a656,c5c37bf6a69f7f0d5a595d1f24e5aa38eacd466a698936376360c21d92148c77,8000000
0b7bc7cfa12d0344544b885723001ef16ab8e196b5c6b92c284559fc9bb1488e,c5c37bf6a69f7f0d5a595d1f24e5aa38eacd466a698936376360c21d92148c77,60000000
250a0818d4447aad10f500507423993792ed6dbe3fcba66ee00506574cea307b,c5c37bf6a69f7f0d5a595d1f24e5aa38eacd466a698936376360c21d92148c77,2000000000
6702a5971df677d74c9ed13fa17e9936a7ad4f4b280588bd231bba85d837a2b8,c5c37bf6a69f7f0d5a595d1f24e5aa38eacd466a698936376360c21d92148c77,90000000000
20b7c97979dc8a73ebf2440b6c5f18e703ba702ced58536dfba3dafdf0dc493f,c5c37bf6a69f7f0d5a595d1f24e5aa38eacd466a698936376360c21d92148c77,500000000000
1e4f2708aa04f52d4607d98ba18bf0f87b5045ff74df71f45649975093d19a12,c5c37bf6a69f7f0d5a595d1f24e5aa38eacd466a698936376360c21d92148c77,7000000000000
4851de8623e494a294035639ccfec6868e615133d2b8f25251c8831b0c8da651,c5c37bf6a69f7f0d5a595d1f24e5aa38eacd466a698936376360c21d92148c77,10000000000000
b9270c2951d34383b2b3987c02fd124c647b79a1af262bf4f0cac9d982710dce,6b4ec775633537b31aa66c6d1d00d177d9bf5173b465f7a63bee9198cfecca1e,827135
9d698b8e1372e5384d8347a6ddd174c80df514bf6b1bb57825749d4bdeeb097d,6b4ec775633537b31aa66c6d1d00d177d9bf5173b465f7a63bee9198cfecca1e,1000000
44c4495e8d78e346a07e89f6807c309ffe9242a274a4043696ff1f5146aac0b0,6b4ec775633537b31aa66c6d1d00d177d9bf5173b465f7a63bee9198cfecca1e,50000000
a094fa5ef329ef226d65fa42f186dd6195f76901854cef525cfec7879f6c9ce9,6b4ec775633537b31aa66c6d1d00d177d9bf5173b465f7a63bee9198cfecca1e,2000000000
decc7d16b58cf54e30523083730bbed895b88b47bff0d8fe334dedbf305c12c0,6b4ec775633537b31aa66c6d1d00d177d9bf5173b465f7a63bee9198cfecca1e,90000000000
b09bbbcd9044306eff6e7018fa7e2de1214d914febf71b75b5ec6c0d7b5919bd,6b4ec775633537b31aa66c6d1d00d177d9bf5173b465f7a63bee9198cfecca1e,500000000000
66917f7b8b6dd2e34b1a64564dcb0963d05267d504cd88bd060cf11c6bc3036d,6b4ec775633537b31aa66c6d1d00d177d9bf5173b465f7a63bee9198cfecca1e,7000000000000
